,Day,Tesla: (Worldwide),Ford Motor Company: (Worldwide),Chevrolet: (Worldwide),Rivian: (Worldwide)
59,1572825600000.0,9,66,33,0
60,1572912000000.0,9,64,33,0
61,1572998400000.0,9,62,31,0
62,1573084800000.0,9,64,31,0
63,1573171200000.0,9,65,33,0
64,1573257600000.0,10,68,34,0
65,1573344000000.0,9,63,32,0
66,1573430400000.0,9,64,32,0
67,1573516800000.0,10,66,32,0
68,1573603200000.0,13,65,31,0
69,1573689600000.0,11,66,31,0
70,1573776000000.0,10,68,31,0
71,1573862400000.0,10,74,35,0
72,1573948800000.0,10,71,31,0
73,1574035200000.0,11,78,32,0
74,1574121600000.0,10,73,33,0
75,1574208000000.0,11,69,32,0
76,1574294400000.0,16,68,33,0
77,1574380800000.0,100,69,34,4
78,1574467200000.0,69,72,34,2
79,1574553600000.0,52,68,31,1
80,1574640000000.0,43,67,32,1
81,1574726400000.0,32,68,32,1
82,1574812800000.0,27,66,30,1
83,1574899200000.0,26,58,26,1
84,1574985600000.0,21,61,30,1
85,1575072000000.0,19,67,33,0
86,1575158400000.0,17,59,29,0
87,1575244800000.0,14,61,30,0
88,1575331200000.0,13,63,31,0
89,1575417600000.0,13,65,31,0
